"","bio1_MACA_CCSM4_Monthly_historical_1976.2005_metric","bio10_MACA_CCSM4_Monthly_historical_1976.2005_metric","bio11_MACA_CCSM4_Monthly_historical_1976.2005_metric","bio12_MACA_CCSM4_Monthly_historical_1976.2005_metric","bio13_MACA_CCSM4_Monthly_historical_1976.2005_metric","bio14_MACA_CCSM4_Monthly_historical_1976.2005_metric","bio15_MACA_CCSM4_Monthly_historical_1976.2005_metric","bio16_MACA_CCSM4_Monthly_historical_1976.2005_metric","bio17_MACA_CCSM4_Monthly_historical_1976.2005_metric","bio18_MACA_CCSM4_Monthly_historical_1976.2005_metric","bio19_MACA_CCSM4_Monthly_historical_1976.2005_metric","bio2_MACA_CCSM4_Monthly_historical_1976.2005_metric","bio3_MACA_CCSM4_Monthly_historical_1976.2005_metric","bio4_MACA_CCSM4_Monthly_historical_1976.2005_metric","bio5_MACA_CCSM4_Monthly_historical_1976.2005_metric","bio6_MACA_CCSM4_Monthly_historical_1976.2005_metric","bio7_MACA_CCSM4_Monthly_historical_1976.2005_metric","bio8_MACA_CCSM4_Monthly_historical_1976.2005_metric","bio9_MACA_CCSM4_Monthly_historical_1976.2005_metric"
"bio1_MACA_CCSM4_Monthly_historical_1976.2005_metric",1,0.920712698394689,0.947799789101562,0.220493603887389,0.142883540244633,0.328472405572797,-0.138804005328244,0.142024104083868,0.325773264676445,0.255541765654026,0.167464323404224,0.081012019876243,0.512656271259292,-0.516935999237275,0.818579584916227,0.903206508900524,-0.502745536535254,0.456125711766201,0.589928501557297
"bio10_MACA_CCSM4_Monthly_historical_1976.2005_metric",0.920712698394689,1,0.752763874761361,0.0933075497442394,-0.0118235235004236,0.269039979799956,-0.142985123809763,-0.00828699719324099,0.259833793529608,0.314626438849108,-0.0557799476405765,0.115444328603426,0.239129526789182,-0.145403939118097,0.915435569110708,0.680749216975951,-0.159652513462882,0.603747108495548,0.357395689938915
"bio11_MACA_CCSM4_Monthly_historical_1976.2005_metric",0.947799789101562,0.752763874761361,1,0.260909556107053,0.222581986949963,0.302173917510993,-0.0985058331571731,0.216944174033164,0.30464165772475,0.126489303586974,0.3131688248344,0.0851963157163904,0.692873883364793,-0.76051764921556,0.671557941586013,0.981005397313052,-0.705857402255521,0.261304515261169,0.728274484362682
"bio12_MACA_CCSM4_Monthly_historical_1976.2005_metric",0.220493603887389,0.0933075497442394,0.260909556107053,1,0.898851160885188,0.776644740006259,-0.432196278708046,0.916595807388047,0.806579662271087,0.647487385527363,0.863988006267411,-0.630372576358308,-0.0894304884830635,-0.306096630492567,-0.200748402625241,0.344267871475124,-0.568321648533658,-0.0114500852255631,0.202216085808792
"bio13_MACA_CCSM4_Monthly_historical_1976.2005_metric",0.142883540244633,-0.0118235235004236,0.222581986949963,0.898851160885188,1,0.453960401500245,-0.0407049401953632,0.994283123214532,0.489298659157989,0.451509650406082,0.870498867877696,-0.547831849522366,0.0078904428281541,-0.350338359460127,-0.247642233243096,0.303947327801126,-0.55348269388904,-0.0375865266436215,0.151230169545912
"bio14_MACA_CCSM4_Monthly_historical_1976.2005_metric",0.328472405572797,0.269039979799956,0.302173917510993,0.776644740006259,0.453960401500245,1,-0.790716411104647,0.482455280276226,0.992661981606649,0.736246922934563,0.527143188246097,-0.481142548937575,-0.112069388926582,-0.196126796368713,-0.011027423819643,0.345472638855393,-0.430417615865932,0.108946911131451,0.212380669059763
"bio15_MACA_CCSM4_Monthly_historical_1976.2005_metric",-0.138804005328244,-0.142985123809763,-0.0985058331571731,-0.432196278708046,-0.0407049401953632,-0.790716411104647,1,-0.0753764561737417,-0.790510973700207,-0.459043327409483,-0.217544246424355,0.322313681824542,0.225151660351335,0.0129150268364149,0.0194315820685095,-0.136947214359977,0.181683736671051,0.00235557051693756,-0.148286194452674
"bio16_MACA_CCSM4_Monthly_historical_1976.2005_metric",0.142024104083868,-0.00828699719324099,0.216944174033164,0.916595807388047,0.994283123214532,0.482455280276226,-0.0753764561737417,1,0.516899916106443,0.483349096436561,0.874366707945658,-0.56052137350541,-0.00738035610261107,-0.338453724465437,-0.251594492063499,0.299367756821473,-0.550787975615252,-0.0359966442855557,0.147531458400296
"bio17_MACA_CCSM4_Monthly_historical_1976.2005_metric",0.325773264676445,0.259833793529608,0.30464165772475,0.806579662271087,0.489298659157989,0.992661981606649,-0.790510973700207,0.516899916106443,1,0.727236203717021,0.567273949816598,-0.50480872605173,-0.116895932878656,-0.208644865534879,-0.025733341416559,0.353334793852632,-0.450832124357468,0.0903774965552404,0.229568725338606
"bio18_MACA_CCSM4_Monthly_historical_1976.2005_metric",0.255541765654026,0.314626438849108,0.126489303586974,0.647487385527363,0.451509650406082,0.736246922934563,-0.459043327409483,0.483349096436561,0.727236203717021,1,0.202544372386711,-0.489495523459419,-0.30787430848737,0.11284586668165,-0.00188900702633917,0.12466303302558,-0.153779681841476,0.510609338727923,-0.214674893160714
"bio19_MACA_CCSM4_Monthly_historical_1976.2005_metric",0.167464323404224,-0.0557799476405765,0.3131688248344,0.863988006267411,0.870498867877696,0.527143188246097,-0.217544246424355,0.874366707945658,0.567273949816598,0.202544372386711,1,-0.459638197771718,0.166675410798993,-0.527071115471917,-0.233561821674233,0.416070761907172,-0.680201796411039,-0.325587059075536,0.444603843570895
"bio2_MACA_CCSM4_Monthly_historical_1976.2005_metric",0.081012019876243,0.115444328603426,0.0851963157163904,-0.630372576358308,-0.547831849522366,-0.481142548937575,0.322313681824542,-0.56052137350541,-0.50480872605173,-0.489495523459419,-0.459638197771718,1,0.56459046734378,-0.0119720997089423,0.432260098555132,-0.0618478879150979,0.393160685797958,0.0548683454056273,0.0819538269988396
"bio3_MACA_CCSM4_Monthly_historical_1976.2005_metric",0.512656271259292,0.239129526789182,0.692873883364793,-0.0894304884830635,0.0078904428281541,-0.112069388926582,0.225151660351335,-0.00738035610261107,-0.116895932878656,-0.30787430848737,0.166675410798993,0.56459046734378,1,-0.804953928167106,0.35435763920884,0.635508285962456,-0.516539360157363,-0.0470706674107975,0.618884087871245
"bio4_MACA_CCSM4_Monthly_historical_1976.2005_metric",-0.516935999237275,-0.145403939118097,-0.76051764921556,-0.306096630492567,-0.350338359460127,-0.196126796368713,0.0129150268364149,-0.338453724465437,-0.208644865534879,0.11284586668165,-0.527071115471917,-0.0119720997089423,-0.804953928167106,1,-0.10488853720487,-0.802901445649039,0.904436115355189,0.198238574945409,-0.737870529496353
"bio5_MACA_CCSM4_Monthly_historical_1976.2005_metric",0.818579584916227,0.915435569110708,0.671557941586013,-0.200748402625241,-0.247642233243096,-0.011027423819643,0.0194315820685095,-0.251594492063499,-0.025733341416559,-0.00188900702633917,-0.233561821674233,0.432260098555132,0.35435763920884,-0.10488853720487,1,0.575712443970168,0.030872164750053,0.4707096974219,0.379922011701282
"bio6_MACA_CCSM4_Monthly_historical_1976.2005_metric",0.903206508900524,0.680749216975951,0.981005397313052,0.344267871475124,0.303947327801126,0.345472638855393,-0.136947214359977,0.299367756821473,0.353334793852632,0.12466303302558,0.416070761907172,-0.0618478879150979,0.635508285962456,-0.802901445649039,0.575712443970168,1,-0.799489007106922,0.167944267662542,0.764421813305252
"bio7_MACA_CCSM4_Monthly_historical_1976.2005_metric",-0.502745536535254,-0.159652513462882,-0.705857402255521,-0.568321648533658,-0.55348269388904,-0.430417615865932,0.181683736671051,-0.550787975615252,-0.450832124357468,-0.153779681841476,-0.680201796411039,0.393160685797958,-0.516539360157363,0.904436115355189,0.030872164750053,-0.799489007106922,1,0.140502305321368,-0.655346604037565
"bio8_MACA_CCSM4_Monthly_historical_1976.2005_metric",0.456125711766201,0.603747108495548,0.261304515261169,-0.0114500852255631,-0.0375865266436215,0.108946911131451,0.00235557051693756,-0.0359966442855557,0.0903774965552404,0.510609338727923,-0.325587059075536,0.0548683454056273,-0.0470706674107975,0.198238574945409,0.4707096974219,0.167944267662542,0.140502305321368,1,-0.303962548057745
"bio9_MACA_CCSM4_Monthly_historical_1976.2005_metric",0.589928501557297,0.357395689938915,0.728274484362682,0.202216085808792,0.151230169545912,0.212380669059763,-0.148286194452674,0.147531458400296,0.229568725338606,-0.214674893160714,0.444603843570895,0.0819538269988396,0.618884087871245,-0.737870529496353,0.379922011701282,0.764421813305252,-0.655346604037565,-0.303962548057745,1
