"","ecoregion","X","NS.Map.Value.code","system_name","SqKM_system_ecoregion","type","ELEMENT_GLOBAL_ID","ELCODE","ELSF_CD","BPS_area_system_sq_KM","percent_of_Total_Distribution","Level3.x","Level3.y"
"1","Arizona/New Mexico Mountains",2,7051,"Southern_Rocky_Mountain_Dry_Mesic_Montane_Mixed_Conifer_Forest_and_Woodland",2503.1997,"Southern Rocky Mountain Dry Mesic Montane Mixed Conifer Forest and Woodland",722850,"CES306.823",4238,15486.9894,0.1616,"13.1.1","13.1.1"
"2","Arizona/New Mexico Mountains",1,7052,"Southern_Rocky_Mountain_Mesic_Montane_Mixed_Conifer_Forest_and_Woodland",1149.0174,"Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland",722848,"CES306.825",4239,8992.6605,0.1278,"13.1.1","13.1.1"
"3","Arizona/New Mexico Mountains",6,7019,"Great_Basin_Pinyon_Juniper_Woodland",38.0295,"Great Basin Pinyon Juniper Woodland",722899,"CES304.773",4206,22745.7234,0.0017,"13.1.1","13.1.1"
"4","Arizona/New Mexico Mountains",3,7149,"Western_Great_Plains_Shortgrass_Prairie",450.4491,"Western Great Plains Shortgrass Prairie",722986,"CES303.672",7122,259073.154,0.0017,"13.1.1","13.1.1"
"5","Arizona/New Mexico Mountains",4,7054,"Southern_Rocky_Mountain_Ponderosa_Pine_Woodland",19014.4341,"Southern Rocky Mountain Ponderosa Pine Woodland",797980,"CES306.648",4241,38899.4481,0.4888,"13.1.1","13.1.1"
"6","Arizona/New Mexico Mountains",5,7125,"Inter_Mountain_Basins_Big_Sagebrush_Steppe",104.5062,"Inter Mountain Basins Big Sagebrush Steppe",722894,"CES304.778",5454,181241.4852,6e-04,"13.1.1","13.1.1"
"7","Arizona/New Mexico Mountains",10,7080,"Inter_Mountain_Basins_Big_Sagebrush_Shrubland",1912.3533,"Inter Mountain Basins Big Sagebrush Shrubland",722895,"CES304.777",5257,282536.1486,0.0068,"13.1.1","13.1.1"
"8","Arizona/New Mexico Mountains",7,7081,"Inter_Mountain_Basins_Mixed_Salt_Desert_Scrub",1718.8848,"Inter Mountain Basins Mixed Salt Desert Scrub",722888,"CES304.784",5258,96871.1967,0.0177,"13.1.1","13.1.1"
"9","Arizona/New Mexico Mountains",8,7147,"Western_Great_Plains_Foothill_and_Piedmont_Grassland",105.7941,"Western Great Plains Foothill and Piedmont Grassland",722856,"CES303.817",7120,12692.0763,0.0083,"13.1.1","13.1.1"
"10","Arizona/New Mexico Mountains",9,7107,"Rocky_Mountain_Gambel_Oak_Mixed_Montane_Shrubland",524.1672,"Rocky Mountain Gambel Oak Mixed Montane Shrubland",722855,"CES306.818",5313,19905.7419,0.0263,"13.1.1","13.1.1"
"11","Arizona/New Mexico Mountains",11,7146,"Southern_Rocky_Mountain_Montane_Subalpine_Grassland",852.93,"Southern Rocky Mountain Montane Subalpine Grassland",722849,"CES306.824",7119,3086.9586,0.2763,"13.1.1","13.1.1"
"12","Arizona/New Mexico Mountains",12,7061,"Inter_Mountain_Basins_Aspen_Mixed_Conifer_Forest_and_Woodland",938.0367,"Inter Mountain Basins Aspen Mixed Conifer Forest and Woodland",722896,"CES304.776",4302,27965.5092,0.0335,"13.1.1","13.1.1"
"13","Arizona/New Mexico Plateau",14,7107,"Rocky_Mountain_Gambel_Oak_Mixed_Montane_Shrubland",264.7971,"Rocky Mountain Gambel Oak Mixed Montane Shrubland",722855,"CES306.818",5313,19905.7419,0.0133,"10.1.7","10.1.7"
"14","Arizona/New Mexico Plateau",15,7126,"Inter_Mountain_Basins_Montane_Sagebrush_Steppe",25.1667,"Inter Mountain Basins Montane Sagebrush Steppe",722887,"CES304.785",5455,85442.3397,3e-04,"10.1.7","10.1.7"
"15","Arizona/New Mexico Plateau",18,7149,"Western_Great_Plains_Shortgrass_Prairie",260.8524,"Western Great Plains Shortgrass Prairie",722986,"CES303.672",7122,259073.154,0.001,"10.1.7","10.1.7"
"16","Arizona/New Mexico Plateau",19,7080,"Inter_Mountain_Basins_Big_Sagebrush_Shrubland",22212.9945,"Inter Mountain Basins Big Sagebrush Shrubland",722895,"CES304.777",5257,282536.1486,0.0786,"10.1.7","10.1.7"
"17","Arizona/New Mexico Plateau",16,7052,"Southern_Rocky_Mountain_Mesic_Montane_Mixed_Conifer_Forest_and_Woodland",19.7316,"Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland",722848,"CES306.825",4239,8992.6605,0.0022,"10.1.7","10.1.7"
"18","Arizona/New Mexico Plateau",17,7019,"Great_Basin_Pinyon_Juniper_Woodland",587.1042,"Great Basin Pinyon Juniper Woodland",722899,"CES304.773",4206,22745.7234,0.0258,"10.1.7","10.1.7"
"19","Arizona/New Mexico Plateau",22,7125,"Inter_Mountain_Basins_Big_Sagebrush_Steppe",23.6358,"Inter Mountain Basins Big Sagebrush Steppe",722894,"CES304.778",5454,181241.4852,1e-04,"10.1.7","10.1.7"
"20","Arizona/New Mexico Plateau",23,7061,"Inter_Mountain_Basins_Aspen_Mixed_Conifer_Forest_and_Woodland",40.1274,"Inter Mountain Basins Aspen Mixed Conifer Forest and Woodland",722896,"CES304.776",4302,27965.5092,0.0014,"10.1.7","10.1.7"
"21","Arizona/New Mexico Plateau",20,7147,"Western_Great_Plains_Foothill_and_Piedmont_Grassland",0.1377,"Western Great Plains Foothill and Piedmont Grassland",722856,"CES303.817",7120,12692.0763,0,"10.1.7","10.1.7"
"22","Arizona/New Mexico Plateau",21,7054,"Southern_Rocky_Mountain_Ponderosa_Pine_Woodland",1403.0739,"Southern Rocky Mountain Ponderosa Pine Woodland",797980,"CES306.648",4241,38899.4481,0.0361,"10.1.7","10.1.7"
"23","Arizona/New Mexico Plateau",13,7066,"Inter_Mountain_Basins_Mat_Saltbush_Shrubland",1.1907,"Inter Mountain Basins Mat Saltbush Shrubland",722889,"CES304.783",5203,10939.5846,1e-04,"10.1.7","10.1.7"
"24","Arizona/New Mexico Plateau",27,7051,"Southern_Rocky_Mountain_Dry_Mesic_Montane_Mixed_Conifer_Forest_and_Woodland",86.5485,"Southern Rocky Mountain Dry Mesic Montane Mixed Conifer Forest and Woodland",722850,"CES306.823",4238,15486.9894,0.0056,"10.1.7","10.1.7"
"25","Arizona/New Mexico Plateau",26,7079,"Great_Basin_Xeric_Mixed_Sagebrush_Shrubland",8.1405,"Great Basin Xeric Mixed Sagebrush Shrubland",722898,"CES304.774",5256,62531.1171,1e-04,"10.1.7","10.1.7"
"26","Arizona/New Mexico Plateau",24,7081,"Inter_Mountain_Basins_Mixed_Salt_Desert_Scrub",21799.2708,"Inter Mountain Basins Mixed Salt Desert Scrub",722888,"CES304.784",5258,96871.1967,0.225,"10.1.7","10.1.7"
"27","Arizona/New Mexico Plateau",25,7146,"Southern_Rocky_Mountain_Montane_Subalpine_Grassland",31.7439,"Southern Rocky Mountain Montane Subalpine Grassland",722849,"CES306.824",7119,3086.9586,0.0103,"10.1.7","10.1.7"
"28","Arkansas Valley",29,7364,"Ozark_Ouachita_Dry_Oak_Woodland",2238.3216,"Ozark Ouachita Dry Oak Woodland",722953,"CES202.707",4306,58336.0137,0.0384,"8.4.7","8.4.7"
"29","Arkansas Valley",28,7423,"Southeastern_Great_Plains_Tallgrass_Prairie",1703.0574,"Southeastern Great Plains Tallgrass Prairie",722974,"CES205.685",7136,108029.6757,0.0158,"8.4.7","8.4.7"
"30","Aspen Parkland/Northern Glaciated Plains",30,7080,"Inter_Mountain_Basins_Big_Sagebrush_Shrubland",0.6156,"Inter Mountain Basins Big Sagebrush Shrubland",722895,"CES304.777",5257,282536.1486,0,"9.2.1","9.2.1"
"31","Aspen Parkland/Northern Glaciated Plains",31,7310,"North_Central_Interior_Dry_Mesic_Oak_Forest_and_Woodland",114.291,"North Central Interior Dry Mesic Oak Forest and Woodland",722663,"CES202.046",4116,141605.9334,8e-04,"9.2.1","9.2.1"
"32","Aspen Parkland/Northern Glaciated Plains",32,7141,"Northwestern_Great_Plains_Mixedgrass_Prairie",73240.6698,"Northwestern Great Plains Mixedgrass Prairie",722984,"CES303.674",7114,425532.0987,0.1721,"9.2.1","9.2.1"
"33","Blue Mountains",33,7017,"Columbia_Plateau_Western_Juniper_Woodland_and_Savanna",2995.9713,"Columbia Plateau Western Juniper Woodland and Savanna",740155,"CES304.082",4204,7901.0883,0.3792,"6.2.9","6.2.9"
"34","Blue Mountains",37,7079,"Great_Basin_Xeric_Mixed_Sagebrush_Shrubland",131.8923,"Great Basin Xeric Mixed Sagebrush Shrubland",722898,"CES304.774",5256,62531.1171,0.0021,"6.2.9","6.2.9"
"35","Blue Mountains",34,7080,"Inter_Mountain_Basins_Big_Sagebrush_Shrubland",5362.7751,"Inter Mountain Basins Big Sagebrush Shrubland",722895,"CES304.777",5257,282536.1486,0.019,"6.2.9","6.2.9"
"36","Blue Mountains",35,7125,"Inter_Mountain_Basins_Big_Sagebrush_Steppe",8634.0006,"Inter Mountain Basins Big Sagebrush Steppe",722894,"CES304.778",5454,181241.4852,0.0476,"6.2.9","6.2.9"
"37","Blue Mountains",36,7061,"Inter_Mountain_Basins_Aspen_Mixed_Conifer_Forest_and_Woodland",2.1384,"Inter Mountain Basins Aspen Mixed Conifer Forest and Woodland",722896,"CES304.776",4302,27965.5092,1e-04,"6.2.9","6.2.9"
"38","Blue Mountains",38,7126,"Inter_Mountain_Basins_Montane_Sagebrush_Steppe",4564.3257,"Inter Mountain Basins Montane Sagebrush Steppe",722887,"CES304.785",5455,85442.3397,0.0534,"6.2.9","6.2.9"
"39","Blue Mountains",39,7081,"Inter_Mountain_Basins_Mixed_Salt_Desert_Scrub",1.3122,"Inter Mountain Basins Mixed Salt Desert Scrub",722888,"CES304.784",5258,96871.1967,0,"6.2.9","6.2.9"
"40","Boston Mountains",41,7364,"Ozark_Ouachita_Dry_Oak_Woodland",3725.6355,"Ozark Ouachita Dry Oak Woodland",722953,"CES202.707",4306,58336.0137,0.0639,"8.4.6","8.4.6"
"41","Boston Mountains",40,7423,"Southeastern_Great_Plains_Tallgrass_Prairie",13.8753,"Southeastern Great Plains Tallgrass Prairie",722974,"CES205.685",7136,108029.6757,1e-04,"8.4.6","8.4.6"
"42","California Coastal Sage, Chaparral, and Oak Woodlands",42,7126,"Inter_Mountain_Basins_Montane_Sagebrush_Steppe",19.5372,"Inter Mountain Basins Montane Sagebrush Steppe",722887,"CES304.785",5455,85442.3397,2e-04,"11.1.1","11.1.1"
"43","California Coastal Sage, Chaparral, and Oak Woodlands",43,7080,"Inter_Mountain_Basins_Big_Sagebrush_Shrubland",3.6936,"Inter Mountain Basins Big Sagebrush Shrubland",722895,"CES304.777",5257,282536.1486,0,"11.1.1","11.1.1"
"44","California Coastal Sage, Chaparral, and Oak Woodlands",44,7019,"Great_Basin_Pinyon_Juniper_Woodland",5.6376,"Great Basin Pinyon Juniper Woodland",722899,"CES304.773",4206,22745.7234,2e-04,"11.1.1","11.1.1"
"45","Canadian Rockies",46,7080,"Inter_Mountain_Basins_Big_Sagebrush_Shrubland",0.3402,"Inter Mountain Basins Big Sagebrush Shrubland",722895,"CES304.777",5257,282536.1486,0,"6.2.4","6.2.4"
"46","Canadian Rockies",45,7126,"Inter_Mountain_Basins_Montane_Sagebrush_Steppe",16.2162,"Inter Mountain Basins Montane Sagebrush Steppe",722887,"CES304.785",5455,85442.3397,2e-04,"6.2.4","6.2.4"
"47","Canadian Rockies",47,7125,"Inter_Mountain_Basins_Big_Sagebrush_Steppe",14.742,"Inter Mountain Basins Big Sagebrush Steppe",722894,"CES304.778",5454,181241.4852,1e-04,"6.2.4","6.2.4"
"48","Canadian Rockies",48,7141,"Northwestern_Great_Plains_Mixedgrass_Prairie",1.215,"Northwestern Great Plains Mixedgrass Prairie",722984,"CES303.674",7114,425532.0987,0,"6.2.4","6.2.4"
"49","Cascades",50,7080,"Inter_Mountain_Basins_Big_Sagebrush_Shrubland",13.7457,"Inter Mountain Basins Big Sagebrush Shrubland",722895,"CES304.777",5257,282536.1486,0,"6.2.7","6.2.7"
"50","Cascades",49,7125,"Inter_Mountain_Basins_Big_Sagebrush_Steppe",0.0081,"Inter Mountain Basins Big Sagebrush Steppe",722894,"CES304.778",5454,181241.4852,0,"6.2.7","6.2.7"
"51","Cascades",53,7079,"Great_Basin_Xeric_Mixed_Sagebrush_Shrubland",0.6966,"Great Basin Xeric Mixed Sagebrush Shrubland",722898,"CES304.774",5256,62531.1171,0,"6.2.7","6.2.7"
"52","Cascades",51,7126,"Inter_Mountain_Basins_Montane_Sagebrush_Steppe",0.5994,"Inter Mountain Basins Montane Sagebrush Steppe",722887,"CES304.785",5455,85442.3397,0,"6.2.7","6.2.7"
"53","Cascades",52,7017,"Columbia_Plateau_Western_Juniper_Woodland_and_Savanna",27.7506,"Columbia Plateau Western Juniper Woodland and Savanna",740155,"CES304.082",4204,7901.0883,0.0035,"6.2.7","6.2.7"
"54","Central Basin and Range",55,7080,"Inter_Mountain_Basins_Big_Sagebrush_Shrubland",70524.6912,"Inter Mountain Basins Big Sagebrush Shrubland",722895,"CES304.777",5257,282536.1486,0.2496,"10.1.5","10.1.5"
"55","Central Basin and Range",54,7125,"Inter_Mountain_Basins_Big_Sagebrush_Steppe",1949.3379,"Inter Mountain Basins Big Sagebrush Steppe",722894,"CES304.778",5454,181241.4852,0.0108,"10.1.5","10.1.5"
"56","Central Basin and Range",59,7079,"Great_Basin_Xeric_Mixed_Sagebrush_Shrubland",51044.175,"Great Basin Xeric Mixed Sagebrush Shrubland",722898,"CES304.774",5256,62531.1171,0.8163,"10.1.5","10.1.5"
"57","Central Basin and Range",56,7019,"Great_Basin_Pinyon_Juniper_Woodland",17807.2425,"Great Basin Pinyon Juniper Woodland",722899,"CES304.773",4206,22745.7234,0.7829,"10.1.5","10.1.5"
"58","Central Basin and Range",57,7107,"Rocky_Mountain_Gambel_Oak_Mixed_Montane_Shrubland",2083.5306,"Rocky Mountain Gambel Oak Mixed Montane Shrubland",722855,"CES306.818",5313,19905.7419,0.1047,"10.1.5","10.1.5"
"59","Central Basin and Range",58,7146,"Southern_Rocky_Mountain_Montane_Subalpine_Grassland",2.1141,"Southern Rocky Mountain Montane Subalpine Grassland",722849,"CES306.824",7119,3086.9586,7e-04,"10.1.5","10.1.5"
"60","Central Basin and Range",63,7017,"Columbia_Plateau_Western_Juniper_Woodland_and_Savanna",1.3041,"Columbia Plateau Western Juniper Woodland and Savanna",740155,"CES304.082",4204,7901.0883,2e-04,"10.1.5","10.1.5"
"61","Central Basin and Range",60,7054,"Southern_Rocky_Mountain_Ponderosa_Pine_Woodland",64.6704,"Southern Rocky Mountain Ponderosa Pine Woodland",797980,"CES306.648",4241,38899.4481,0.0017,"10.1.5","10.1.5"
"62","Central Basin and Range",61,7052,"Southern_Rocky_Mountain_Mesic_Montane_Mixed_Conifer_Forest_and_Woodland",600.3234,"Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland",722848,"CES306.825",4239,8992.6605,0.0668,"10.1.5","10.1.5"
"63","Central Basin and Range",62,7081,"Inter_Mountain_Basins_Mixed_Salt_Desert_Scrub",57601.5057,"Inter Mountain Basins Mixed Salt Desert Scrub",722888,"CES304.784",5258,96871.1967,0.5946,"10.1.5","10.1.5"
"64","Central Basin and Range",66,7126,"Inter_Mountain_Basins_Montane_Sagebrush_Steppe",12746.2572,"Inter Mountain Basins Montane Sagebrush Steppe",722887,"CES304.785",5455,85442.3397,0.1492,"10.1.5","10.1.5"
"65","Central Basin and Range",64,7051,"Southern_Rocky_Mountain_Dry_Mesic_Montane_Mixed_Conifer_Forest_and_Woodland",33.939,"Southern Rocky Mountain Dry Mesic Montane Mixed Conifer Forest and Woodland",722850,"CES306.823",4238,15486.9894,0.0022,"10.1.5","10.1.5"
"66","Central Basin and Range",65,7061,"Inter_Mountain_Basins_Aspen_Mixed_Conifer_Forest_and_Woodland",530.4123,"Inter Mountain Basins Aspen Mixed Conifer Forest and Woodland",722896,"CES304.776",4302,27965.5092,0.019,"10.1.5","10.1.5"
"67","Central California Valley",67,7080,"Inter_Mountain_Basins_Big_Sagebrush_Shrubland",0.3564,"Inter Mountain Basins Big Sagebrush Shrubland",722895,"CES304.777",5257,282536.1486,0,"11.1.2","11.1.2"
"68","Central Corn Belt Plains",69,7421,"Central_Tallgrass_Prairie",54324.4887,"Central Tallgrass Prairie",722976,"CES205.683",7134,241651.1556,0.2248,"8.2.3","8.2.3"
"69","Central Corn Belt Plains",68,7310,"North_Central_Interior_Dry_Mesic_Oak_Forest_and_Woodland",17750.5668,"North Central Interior Dry Mesic Oak Forest and Woodland",722663,"CES202.046",4116,141605.9334,0.1254,"8.2.3","8.2.3"
"70","Central Corn Belt Plains",70,7313,"North_Central_Interior_Beech_Maple_Forest_",60.6852,"North Central Interior Beech Maple Forest ",722966,"CES202.693",4119,83328.2964,7e-04,"8.2.3","8.2.3"
"71","Central Great Plains",73,7141,"Northwestern_Great_Plains_Mixedgrass_Prairie",13.1868,"Northwestern Great Plains Mixedgrass Prairie",722984,"CES303.674",7114,425532.0987,0,"9.4.2","9.4.2"
"72","Central Great Plains",71,7149,"Western_Great_Plains_Shortgrass_Prairie",2402.9541,"Western Great Plains Shortgrass Prairie",722986,"CES303.672",7122,259073.154,0.0093,"9.4.2","9.4.2"
"73","Central Great Plains",72,7310,"North_Central_Interior_Dry_Mesic_Oak_Forest_and_Woodland",99.1845,"North Central Interior Dry Mesic Oak Forest and Woodland",722663,"CES202.046",4116,141605.9334,7e-04,"9.4.2","9.4.2"
"74","Central Great Plains",74,7054,"Southern_Rocky_Mountain_Ponderosa_Pine_Woodland",3.8151,"Southern Rocky Mountain Ponderosa Pine Woodland",797980,"CES306.648",4241,38899.4481,1e-04,"9.4.2","9.4.2"
"75","Central Great Plains",75,7423,"Southeastern_Great_Plains_Tallgrass_Prairie",35095.0563,"Southeastern Great Plains Tallgrass Prairie",722974,"CES205.685",7136,108029.6757,0.3249,"9.4.2","9.4.2"
"76","Central Great Plains",76,7421,"Central_Tallgrass_Prairie",15499.3986,"Central Tallgrass Prairie",722976,"CES205.683",7134,241651.1556,0.0641,"9.4.2","9.4.2"
"77","Central Irregular Plains",77,7364,"Ozark_Ouachita_Dry_Oak_Woodland",367.9587,"Ozark Ouachita Dry Oak Woodland",722953,"CES202.707",4306,58336.0137,0.0063,"9.2.4","9.2.4"
"78","Central Irregular Plains",80,7310,"North_Central_Interior_Dry_Mesic_Oak_Forest_and_Woodland",7833.2022,"North Central Interior Dry Mesic Oak Forest and Woodland",722663,"CES202.046",4116,141605.9334,0.0553,"9.2.4","9.2.4"
"79","Central Irregular Plains",78,7423,"Southeastern_Great_Plains_Tallgrass_Prairie",29774.5065,"Southeastern Great Plains Tallgrass Prairie",722974,"CES205.685",7136,108029.6757,0.2756,"9.2.4","9.2.4"
"80","Central Irregular Plains",79,7421,"Central_Tallgrass_Prairie",33288.2055,"Central Tallgrass Prairie",722976,"CES205.683",7134,241651.1556,0.1378,"9.2.4","9.2.4"
"81","Chihuahuan Desert",82,7051,"Southern_Rocky_Mountain_Dry_Mesic_Montane_Mixed_Conifer_Forest_and_Woodland",4.9248,"Southern Rocky Mountain Dry Mesic Montane Mixed Conifer Forest and Woodland",722850,"CES306.823",4238,15486.9894,3e-04,"10.2.4","10.2.4"
"82","Chihuahuan Desert",81,7054,"Southern_Rocky_Mountain_Ponderosa_Pine_Woodland",37.7217,"Southern Rocky Mountain Ponderosa Pine Woodland",797980,"CES306.648",4241,38899.4481,0.001,"10.2.4","10.2.4"
"83","Chihuahuan Desert",86,7081,"Inter_Mountain_Basins_Mixed_Salt_Desert_Scrub",37.9728,"Inter Mountain Basins Mixed Salt Desert Scrub",722888,"CES304.784",5258,96871.1967,4e-04,"10.2.4","10.2.4"
"84","Chihuahuan Desert",83,7146,"Southern_Rocky_Mountain_Montane_Subalpine_Grassland",3.8232,"Southern Rocky Mountain Montane Subalpine Grassland",722849,"CES306.824",7119,3086.9586,0.0012,"10.2.4","10.2.4"
"85","Chihuahuan Desert",84,7107,"Rocky_Mountain_Gambel_Oak_Mixed_Montane_Shrubland",0.3888,"Rocky Mountain Gambel Oak Mixed Montane Shrubland",722855,"CES306.818",5313,19905.7419,0,"10.2.4","10.2.4"
"86","Chihuahuan Desert",85,7149,"Western_Great_Plains_Shortgrass_Prairie",365.8041,"Western Great Plains Shortgrass Prairie",722986,"CES303.672",7122,259073.154,0.0014,"10.2.4","10.2.4"
"87","Chihuahuan Desert",87,7080,"Inter_Mountain_Basins_Big_Sagebrush_Shrubland",24.4134,"Inter Mountain Basins Big Sagebrush Shrubland",722895,"CES304.777",5257,282536.1486,1e-04,"10.2.4","10.2.4"
"88","Colorado Plateaus",90,7054,"Southern_Rocky_Mountain_Ponderosa_Pine_Woodland",2373.0003,"Southern Rocky Mountain Ponderosa Pine Woodland",797980,"CES306.648",4241,38899.4481,0.061,"10.1.6","10.1.6"
"89","Colorado Plateaus",88,7061,"Inter_Mountain_Basins_Aspen_Mixed_Conifer_Forest_and_Woodland",699.4107,"Inter Mountain Basins Aspen Mixed Conifer Forest and Woodland",722896,"CES304.776",4302,27965.5092,0.025,"10.1.6","10.1.6"
